tempo,abertura,alto,baixo,fechamento,volume,Dividends,Stock Splits,moeda,mercado
2024-07-10 00:00:00-04:00,530.2841123984558,538.3664291111329,527.8564356099822,534.180419921875,10983300,0.0,0.0,META,EUA
2024-07-11 00:00:00-04:00,530.3840305417114,534.9496822536379,507.88547453708946,512.2113647460938,16458300,0.0,0.0,META,EUA
2024-07-12 00:00:00-04:00,497.2856038051726,507.60574505618877,493.75896940314277,498.39453125,19750500,0.0,0.0,META,EUA
2024-07-15 00:00:00-04:00,498.1547809522942,506.197096630063,492.8997842875474,495.6871337890625,12539200,0.0,0.0,META,EUA
2024-07-16 00:00:00-04:00,501.0220428576974,503.4697200680525,485.32702389039883,489.3232116699219,14075800,0.0,0.0,META,EUA
2024-07-17 00:00:00-04:00,478.71333208982696,478.71333208982696,458.6824227988985,461.5496826171875,28076600,0.0,0.0,META,EUA
2024-07-18 00:00:00-04:00,474.5472883928091,478.78323758972414,464.09726611571585,475.396484375,19267200,0.0,0.0,META,EUA
2024-07-19 00:00:00-04:00,475.6062865603768,486.2461304350434,475.25661403166146,476.3356018066406,15149400,0.0,0.0,META,EUA
2024-07-22 00:00:00-04:00,486.11622954305716,491.59101755744814,483.4387911553188,486.9354553222656,12023100,0.0,0.0,META,EUA
2024-07-23 00:00:00-04:00,489.3731410276354,494.74801835069877,487.25516642936344,488.2242431640625,9455500,0.0,0.0,META,EUA
2024-07-24 00:00:00-04:00,471.8598391006733,475.84602647705185,460.1410079828305,460.8303527832031,17649700,0.0,0.0,META,EUA
2024-07-25 00:00:00-04:00,462.8184931698011,463.1081948294274,442.2281199718486,452.9778747558594,18240500,0.0,0.0,META,EUA
2024-07-26 00:00:00-04:00,463.7575941652689,469.3222623588836,458.9821510896428,465.25616455078125,14222400,0.0,0.0,META,EUA
2024-07-29 00:00:00-04:00,469.43218297065135,473.50828108763176,464.57679896832144,465.2661437988281,11339600,0.0,0.0,META,EUA
2024-07-30 00:00:00-04:00,466.5549013988184,472.2794511006181,456.26473054409126,462.74853515625,11390400,0.0,0.0,META,EUA
2024-07-31 00:00:00-04:00,470.57107503361004,476.0458631979772,466.3051556089315,474.37744140625,24285800,0.0,0.0,META,EUA
2024-08-01 00:00:00-04:00,520.5034351436154,526.6675374459451,491.6309858178004,497.2655944824219,43083100,0.0,0.0,META,EUA
2024-08-02 00:00:00-04:00,488.5339398796102,500.6723537605156,475.6961809650345,487.6747741699219,24044700,0.0,0.0,META,EUA
2024-08-05 00:00:00-04:00,450.91984207397917,483.0192251063817,450.3703479643619,475.276611328125,21396200,0.0,0.0,META,EUA
2024-08-06 00:00:00-04:00,478.54346551440767,502.0810080597113,478.1937930014065,493.61907958984375,20955000,0.0,0.0,META,EUA
2024-08-07 00:00:00-04:00,502.65048892680744,509.66378742965634,486.3959757932957,488.45404052734375,20105300,0.0,0.0,META,EUA
2024-08-08 00:00:00-04:00,497.0258430822951,509.47395917829186,494.24849386209854,509.144287109375,16156800,0.0,0.0,META,EUA
2024-08-09 00:00:00-04:00,507.22611009211715,517.8460143623263,505.21804648787173,517.2765502929688,13696600,0.0,0.0,META,EUA
2024-08-12 00:00:00-04:00,516.3673577876184,517.5262863200741,508.61477470058526,515.458251953125,9767400,0.0,0.0,META,EUA
2024-08-13 00:00:00-04:00,519.5144160769801,530.993455817065,517.6562033778356,528.0362548828125,13743800,0.0,0.0,META,EUA
2024-08-14 00:00:00-04:00,527.5567444807748,533.4910859659929,522.6314501991138,526.2579956054688,11444200,0.0,0.0,META,EUA
2024-08-15 00:00:00-04:00,531.2831124152483,539.2555478927371,526.1979980000913,536.81787109375,13482100,0.0,0.0,META,EUA
